Step,Tension_Force_1,Tension_Force_2,Tension_Force_3,Tension_Force_4,Tension_Force_5,Tension_Force_6,Tension_Force_7,Tension_Force_8,Tension_Force_9,Tension_Force_10,Tension_Force_11,Tension_Force_12,Tension_Force_13,Tension_Force_14,Tension_Force_15,Tension_Force_16,Tension_Force_17,Tension_Force_18,Tension_Force_19,Tension_Force_20,Tension_Force_21,Tension_Force_22,Tension_Force_23,Tension_Force_24
25,-15.952163794221018,-3.0740652797047714,0.0,-16.146436539652637,-15.790381900713339,0.0,0.0,0.0,-1.8823317168664273,0.0,-2.7849878641575607,0.0,0.0,-5.197936305712125,-15.752980610510026,-16.175300618499925,-10.955537879562295,0.0,0.0,-15.825159984632213,0.0,-0.7271269484424783,-10.30685806242039,0.0
26,-16.15135116294631,0.0,0.0,-15.865295596587575,-16.096957453955866,0.0,0.0,0.0,-4.622981517677983,0.0,-5.849337571341688,0.0,0.0,-6.536978591393907,-9.879218985296317,-14.88331335394945,-6.3408220218506335,0.0,0.0,-15.961115698504276,0.0,0.0,-6.762291152205284,0.0
27,-15.98382348998571,0.0,0.0,-15.914668052191539,-15.82655884843135,0.0,0.0,0.0,-3.7513965591655456,0.0,0.0,0.0,0.0,-7.358893974720036,-12.581993776075182,-10.617892114914861,0.0,0.0,-1.2427591441253032,-15.730571086812363,0.0,0.0,-6.071107871895716,0.0
28,-12.332347022611529,0.0,0.0,-16.310557714596587,-15.962245318228845,0.0,0.0,0.0,-1.4425579165866296,0.0,0.0,0.0,0.0,-8.420098582485563,-15.744619671475862,-4.549557055202136,0.0,0.0,0.0,-15.713460763453948,0.0,-6.3351748550386615,-7.204531789210648,0.0
29,-2.39436329197551,-10.76887383588837,0.0,-15.986104322920053,-16.06546188776705,0.0,0.0,0.0,-16.211089602863694,0.0,0.0,0.0,0.0,-8.120278501395273,-15.919650266147885,-4.693312863158391,0.0,0.0,0.0,-15.78724504710846,0.0,-15.690282707370676,-16.217576959153032,-13.044762556910811
30,-6.74528662305389,-12.370106218400988,0.0,-16.116832127866996,-15.937129941114918,-8.75886841242478,-2.279194257798764,0.0,-16.125416512197486,0.0,-7.6800870104197525,-1.8362670740183624,-5.598979082874895,-15.79341073357475,-16.19336054656969,-2.756455756700812,0.0,0.0,0.0,-2.68254065602361,-9.493276195488228,-15.955718216688238,-16.138546360865934,-16.182222680847097
31,-5.7155498695069245,-9.58920230758926,0.0,-13.377439452174036,-16.03581855738276,-2.337965316280686,-14.239658526663614,0.0,-15.919330667271396,0.0,-14.769303455812825,0.0,-3.6287140754651146,-15.85158445866441,-15.913854991494343,0.0,0.0,0.0,0.0,0.0,0.0,-15.953991194400652,-13.362805393928893,-9.17885339594659
32,-16.30544767740966,0.0,0.0,-16.104157471543168,-15.865712070888046,0.0,-5.008928617744915,0.0,-15.869846837701399,0.0,-12.790413997968574,-0.6579814816846861,0.0,-6.335852276563938,-7.712128355555746,-13.454997124466606,0.0,-2.459383816893154,-4.39174614786033,0.0,-10.783841221157388,-16.18493671095547,-7.436495843392327,-6.036671274471858
33,-16.22280854564907,0.0,-13.708130415850412,-15.743899229304334,-16.103115574480654,0.0,0.0,0.0,-15.986811758899538,0.0,-15.88118575200106,-10.469488398706707,0.0,-10.431324262683036,0.0,-16.08535183898422,0.0,-13.812135431284188,-11.512931824744419,0.0,-0.6059708751099107,-16.199298720837447,-9.193317228735788,0.0
34,-10.459364803620515,0.0,-15.960735613537599,-15.994593092820928,-15.793427305569917,-6.542917531889666,-15.972997188253352,0.0,-15.975809421855262,-15.842529423247568,-15.998371929887922,0.0,0.0,-9.335251742373519,0.0,-16.176743582802366,0.0,-16.083607322340356,-16.092831896312266,-0.8024658789136483,0.0,-6.4269995900718575,-15.75409450545266,0.0
