Step,data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17,data_18,data_19,data_20,data_21,data_22,data_23,data_24,data_25,data_26,data_27,data_28,data_29,data_30,data_31,data_32,data_33,data_34,data_35,data_36
11,1.063403814352274,-1.2780262657230554,8.633977130335081,-0.556405313721005,0.9504960676575912,2.3263505413673564,2.9988895053701725,0.38880055508336125,8.73244006587714,0.06008203049729291,0.47050830749039046,0.6189706555140144,-10.207395849716738,0.7068823145616491,4.246410592154925,-0.8361976286842532,-0.5734058833183657,-3.047643099088218,-8.302139222861026,4.7300642036187535,1.1378670800232933,0.29957044523050175,0.5104076360127487,6.234596346685242,7.849136215854585,8.25335011121443,2.296706576630995,-2.0496589372997156,-0.32503979578211795,4.030229977855125,4.1828445145864475,12.322827421657202,-1.0671148411088214,-0.18380486382525976,0.04494993100783526,3.067524243718405
12,1.284441701645081,-1.6675177643143912,8.87847664007662,-0.472375227681348,1.0275286857562822,2.566363837631083,3.1355111942735654,0.5549416099704372,9.795867896999145,0.04740310602075724,0.5995432664163666,0.6386740036465741,-7.5980807652714555,-1.7198666984232416,2.988952322397837,-0.7798520481735874,-0.5471447280691036,-2.9055697786072052,-7.800820210967417,5.491478170571005,1.3857826269025313,0.2494677176812074,0.7054648539287922,6.179016211417703,8.950399701558242,7.985937925256446,0.817457856868418,-1.963551816684733,-0.18859265547132575,3.9089875951182607,3.823684722222291,12.095305786552528,-1.1052203160817278,-0.1710490504701296,-0.016472509511539942,2.9167784529516245
13,1.179590283509274,-1.701594648059515,8.887389017474005,-0.38500337692517683,1.0953016252168486,2.8586458445792786,3.1129254466492537,0.5211524971389945,9.792551981353917,0.03691129956576939,0.7340197051969217,0.6609883326019093,-6.5018425444399,-3.095378692522113,3.3458103269344526,-0.479341558432223,-0.203249688845808,-2.494652482248095,-7.044775003185353,6.0539751122306935,2.0269599627981845,0.22492042804216833,0.8929117628028966,5.981484216939112,9.166034727416942,7.823260527724757,0.3420264919899689,-1.8191058277096204,-0.0727510286735834,3.6732441875660595,3.944392068740761,11.889392151916029,-1.0386404927155233,-0.19028737748330382,-0.04947912963910036,2.547975322808751
14,0.984280427134391,-1.576135529209135,9.082536812450964,-0.2977817457502642,1.196995949192637,3.118746169996841,3.114430518310396,0.4711638573795635,9.670770555800573,0.0294593277927957,0.8760059196389008,0.6639533151721372,-5.8382056092565815,-4.001043208506136,3.9889151793549327,-0.18393582706538653,0.17707885358706754,-1.8219039163501691,-6.323883409778003,6.539739250692072,2.677475121502331,0.24456044947164585,1.0725735709794741,5.469066917710437,8.87581179637603,7.606295408404146,0.29483935329972794,-1.6659936802610975,0.03198152073438247,3.153359815490663,4.1925611714694995,11.517659327691856,-0.9421285673162482,-0.21899223074953506,-0.07515534674577314,1.9992431938146829
15,1.0089404093678602,-1.824860252530486,9.156050630108174,-0.20022124826448148,1.2537894868964359,3.419829974609703,-0.47701130651352475,1.0652083638801024,8.356440920671066,0.06678615949072242,1.208291323106659,0.6049622557409876,-4.379021035054977,-4.52521470987723,4.72232692383719,0.06654763624818484,0.5572344707967118,-1.0471723875655232,-5.605068240240791,6.46711393952519,3.6574700401263147,0.349191796164313,1.1895266570621157,4.765879021326134,9.968379702285072,7.982895934601933,0.23721465209483553,-1.5004349510468231,0.13352927014465416,2.5571727142078893,3.524757710750033,11.479828667138529,-0.9147776661175749,-0.2526110977693267,-0.09810937698030146,1.2745129001833702
16,1.1861977933779027,-1.8613421104363694,9.202020102058293,-0.0877611492561195,1.3438187716366445,3.6545685768602727,-2.850513552564894,1.624686194657727,7.471644109551588,0.16328712560178416,1.8006876423076872,0.503607233965679,-3.191772493023755,-4.875470431740879,5.004882670113552,0.28386369302326725,0.9769006629122985,-0.15356438954428894,-5.062337630730012,6.104285749369069,4.445529177801534,0.5503592507132773,1.2836584652664278,3.952413755758,10.309600954786442,7.87809666019715,0.2585265349333931,-1.3227087364361716,0.22689771728207195,1.7222586445746815,2.7687487781656235,11.75469972929725,-0.93824281592717,-0.27453455984913233,-0.11670642602769603,0.44935904642826796
17,1.4470063507279383,-1.7920806227880168,9.204024847461811,0.02679096993715458,1.4446765661986496,3.866974796854915,-4.266542302030854,1.9383189042233553,6.668182616884997,0.30437905180882713,2.5404301986079156,0.36446709177199654,-2.3330460169401186,-5.318271426678979,5.0017600140128815,0.4754524559037261,1.4258350611633956,0.822937857665898,-5.6056947765039284,5.987188737187148,5.237982769938497,0.8142164872217308,1.307593083046718,3.001823840824766,9.56540329718011,7.462465677264635,-0.40628363699582193,-1.1808815179703354,0.3201533982578609,0.7892200515508567,2.2001494849329806,12.00965434976729,-1.0189259203369234,-0.27515817015194116,-0.12796546702766695,-0.5107636373775237
18,1.1386522758276725,-0.9192477409893351,9.424225672593057,0.1385624462961453,1.5648004989768665,4.072234901023515,-4.594213288758364,2.032556675405058,6.019506736099448,0.4921879898754756,3.355244128443684,0.19348192834101333,-1.826466103971581,-5.459408851796273,4.725037902571252,0.6673529350463325,1.8607866959629,1.8108821399689186,-4.050695649757208,4.486635372896057,6.29668862592952,1.1354793084385848,1.1748811980889011,1.9449673992761023,7.517492578327692,6.523276415084974,-0.6852610715342581,-1.031966706617198,0.3195037687795435,-0.42432724868485633,2.1438589294902313,12.061695708310024,-1.9530919182291013,-0.2574599683228925,-0.12563867039112322,-1.585400851752123
19,-0.026788730428181466,1.309194581687699,9.855998483226378,0.21063907029293075,1.6324822389148124,4.177722794821499,1.5952681266928428,0.2818612953993863,6.670762453474603,0.557769354162355,3.859591478324073,-0.07389087247817208,0.42697280374533647,-7.627499447816321,4.523900327675753,0.9044239881766112,2.267286575090426,2.699191297719243,2.099593093911418,3.1773275997883847,3.074848318802456,1.303042085853596,1.1695668559777777,0.346376697702839,4.908814027657631,7.291552933561261,-1.6527940131741534,-0.7732719043249545,0.2615170766810557,-1.8302486850519004,2.608197329357221,11.436802209428,-0.8440523847135387,-0.1858904587224639,-0.1434814655397061,-2.7954091431507697
20,-0.9410092077385162,1.8856343089963814,9.611683835729872,0.222694362270756,1.693191806790359,4.142132911229897,2.685019340212803,1.3144617975538064,5.97154857334652,0.6906744931298884,4.084681367037947,-1.2120350896379102,0.39365608174306543,-7.067303361746445,4.762354955362125,1.0157729565746154,2.301230951547244,3.5457026420335684,4.727761100824053,2.459576796901432,0.46852232622070594,1.3730334296466855,1.3603480390190887,-1.5531074925396722,3.484751468836967,5.806744537395834,-1.903827186585416,-0.2581969111062389,0.1768559355301626,-2.2591415242285886,3.284262836435072,9.770133781267548,0.3961680287793542,0.025544355354306346,-0.19125258451079105,-4.054258481624377
