Step,data_1,data_2,data_3,data_4,data_5,data_6,data_7,data_8,data_9,data_10,data_11,data_12,data_13,data_14,data_15,data_16,data_17,data_18,data_19,data_20,data_21,data_22,data_23,data_24
1,0.3086260834152051,0.2990259929287233,0.24562834308174622,0.2539186258976547,0.274794304802611,0.27050020062913177,0.3048082590395025,0.3115153187653713,0.3033834814420855,0.2877301676917707,0.24487939349299967,0.2549039106995431,0.28693058555900014,0.2705129941331379,0.30750350914030894,0.2866972629936958,0.2954644735535009,0.2963284103663171,0.29646850686140985,0.2886734158120827,0.29896521380224406,0.29651997488362236,0.3023867241009576,0.3014496367837987
2,0.3071589899314231,0.3016883566570177,0.24612265647279322,0.2514744289890757,0.2754528583460322,0.2710177056195915,0.3039968544433715,0.30942289623075,0.3030650454726171,0.28808196635265115,0.2455237717188857,0.2551809082885558,0.2865873682456209,0.26939048345289984,0.3057706851234063,0.2903542732097301,0.2941667454071857,0.29617520865488906,0.2984841021926158,0.28983347274012894,0.29681162797987415,0.2996978960501528,0.3020558966863525,0.2998626492156443
3,0.3058514108868626,0.30300258364131716,0.2460025790966677,0.24958684689151925,0.276281640880939,0.2697771483743921,0.30320354193516164,0.30754918712549906,0.30268002657016607,0.29025482095835897,0.24745700104476395,0.2556685366146862,0.2870071159309284,0.26776608252213585,0.30401834159466695,0.2940365707332072,0.29101835565571543,0.29704385932396826,0.3010136176733791,0.2916630992757123,0.2949617825785936,0.30164171706511234,0.30166289193582513,0.29850640169170745
4,0.3048912848395096,0.3027391033716936,0.2455993159959208,0.24869622299053512,0.2769757844071279,0.26818921378167787,0.30248183985048854,0.3059038477395156,0.30240858786184904,0.29411815097043126,0.2507403563894516,0.25680946195965604,0.28819576724361856,0.2659025064037802,0.3029108356537212,0.29698693324743297,0.2853117922208701,0.2993439181537276,0.3020464364997694,0.29360829960318735,0.2931997687624674,0.3018074048797345,0.30144148050762143,0.29756178888504875
5,0.304221980923695,0.30155061822707635,0.24545415821150024,0.24833054580756936,0.2776259936061079,0.26642411246470143,0.30190456566356205,0.3044873634838951,0.30225669572921837,0.29910986830317426,0.25504148522406145,0.259109666452388,0.2898813677506108,0.26423453573600597,0.30216012521756735,0.2997114310962139,0.27802649195163304,0.301269999008176,0.30220546303223583,0.294551494149459,0.29104329869620277,0.30145535139725377,0.3013192647443555,0.296920181448676
6,0.30372821623170704,0.30002259230674305,0.24603931424928252,0.24834479420892142,0.278518887343906,0.26463116887554844,0.30143072100259705,0.3031960408944583,0.30221293923340947,0.30366756665059497,0.26015406274063346,0.26332987233923866,0.29168318718544833,0.2629119344775703,0.30173378525817185,0.3019488468526948,0.269995508807541,0.3017512381100639,0.30218887082165696,0.2942807961730816,0.2886354369054152,0.3010245749465072,0.30132812753528804,0.2962561414151293
7,0.3033905101129545,0.2995488470915191,0.24759845114727894,0.24879208483757878,0.2800191039464876,0.26326130103873857,0.30089536537136313,0.3018645015735247,0.30227814195365443,0.3048279157655829,0.26600120431289137,0.2697563489725037,0.2927559764890597,0.2621927517834158,0.3016023136122862,0.30248922782039744,0.2607589062628848,0.3019233466867993,0.3021993810683389,0.29303770904016757,0.28642242750076097,0.3006705503777735,0.30142484480994625,0.2954041498058818
8,0.3031978656012028,0.29914636787843263,0.24958607791862827,0.25082048068707763,0.28158011189320414,0.26268077299670956,0.2997324096626205,0.301201476084751,0.3023732956102594,0.3048821485490478,0.27248224632844725,0.2750711816807448,0.29320593949266444,0.26190499987439186,0.3015273575400321,0.30244426301175903,0.24987141589399275,0.302024797619567,0.3021664287008809,0.29132311315426657,0.2867557231107926,0.2999430325934336,0.3014839779607869,0.2941757621913389
9,0.30309052724073177,0.2986443963077547,0.2518287549119782,0.2547118694202984,0.2832055385215889,0.2627991827832474,0.2980363300615578,0.3009577892573967,0.30246814850138254,0.30448858109834626,0.2793661514604554,0.278064147758726,0.2933167539476163,0.26182649507754074,0.30149802456771446,0.3021801610677084,0.23783064735728804,0.30216791160521844,0.30211150981575396,0.28926741137450396,0.2905731280680076,0.29852534033158235,0.30154726892880923,0.29247179452662225
10,0.303032512793675,0.29812955144050396,0.2542433832681719,0.2599119343741673,0.28488782024363035,0.2635475803921417,0.2959473283114774,0.30088734605591283,0.30253818054167714,0.3038966499745004,0.2864392899167954,0.2790066541678414,0.2933145265030443,0.2618099031819241,0.3015126215264311,0.3018372766197037,0.22552432831688962,0.302369381803143,0.3020380434204574,0.2869592160353556,0.2973228004353507,0.29665028401106275,0.30163637025990975,0.29024539139173394
11,0.3030126928992867,0.29751891742313097,0.25669296488390486,0.26531579005641986,0.2864420369543519,0.2649245045132275,0.2940395881662529,0.3008833730295078,0.3025521137371087,0.30323325104055726,0.29354612896776716,0.2793944239007944,0.29331333130340514,0.26182272827168945,0.3015181497800385,0.30148581159535576,0.2144847291867334,0.3025407053505993,0.3019303814052983,0.28448112239428147,0.3036469712908812,0.2955247745321574,0.30169076664118394,0.28775295571437765
12,0.30302257719279285,0.2963457883693193,0.25900985256237286,0.2705839819777595,0.2875704398685164,0.26691001465263037,0.2931665659119034,0.3009282793076029,0.3025089973567736,0.3026692981122607,0.30073103016328345,0.2803432059318898,0.2934670469773424,0.2618610945349535,0.30143866202374453,0.30121717990231905,0.20630486301900122,0.3025633095538876,0.3017997352296386,0.2819375260801063,0.3049802657134931,0.29613127472721423,0.30164737044398615,0.2853342364616161
13,0.3031107450671152,0.2949339508326659,0.2640183680214913,0.27626535761405957,0.28865406099672986,0.26905603788354876,0.29220446120698895,0.30104546529916837,0.30246266392682686,0.3022872477456138,0.303443186739092,0.28064576037177486,0.29357369952270246,0.2619297725852599,0.3014055714360804,0.30106430453752725,0.20099892856024779,0.30257022941382766,0.3016428732469197,0.27960800170528693,0.3048648053145654,0.2967368550165305,0.30159518209251984,0.2825478818120629
14,0.30327016221386077,0.2932663924468066,0.2700371696858038,0.28196461217219204,0.2897830121047347,0.2713763716842713,0.2910711245113762,0.3011536535179317,0.30233852954112583,0.30202512252623664,0.30375722171022035,0.28064569067596773,0.29364661582854823,0.26204087772487084,0.3013559000431208,0.30096575487793087,0.19727642041430415,0.3026531818964928,0.3015130778864243,0.27730263303414776,0.30437573647387817,0.29730626766202306,0.3015609147448923,0.2794057218390089
15,0.30337911432434767,0.29104061676802845,0.2760147870902946,0.2874907246986113,0.29092430347941395,0.27389164167602537,0.2897948254442546,0.30119848255421733,0.30219003897755864,0.30181145628196593,0.30345662849535593,0.2812517045081568,0.2932861972158327,0.2612953871112899,0.30132654677173326,0.30094947503248737,0.19462248298367266,0.3027444412894721,0.3014132955827867,0.27479270345257456,0.3038687433668307,0.2980607491043317,0.30152271847700596,0.27599833544767555
16,0.303386549560227,0.2876129857562071,0.2823010994730847,0.292979519980172,0.2918896484282856,0.276477137371774,0.2881509735088394,0.3011226944574855,0.3020179162432372,0.3015429261426458,0.30322822836434404,0.28443242336214614,0.29131554334277376,0.2576240248519683,0.3013590310218532,0.30100289620574944,0.19330894241403124,0.302801600034698,0.30133384465762186,0.27178058796900034,0.30347847168399067,0.2991299525887303,0.3014696385737862,0.27232043463286354
